"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"Architettura (Fac.)";"Ingegneria - sede di Bari (Fac.)";"Ingegneria 2 (Taranto) (Fac.)"
"Numero dei laureati";"1451";"156";"1173";"122"
"Hanno compilato il questionario";"1207";"125";"983";"99"
"Tasso di compilazione";"83,2";"80,1";"83,8";"81,1"
"1. ANAGRAFICO"
"";"Collettivo selezionato";"Architettura (Fac.)";"Ingegneria - sede di Bari (Fac.)";"Ingegneria 2 (Taranto) (Fac.)"
"Genere (%)";" ";" ";" ";" "
"Uomini";"69,4";"39,1";"73,3";"70,5"
"Donne";"30,6";"60,9";"26,7";"29,5"
"Età alla laurea (%) ";" ";" ";" ";" "
"Meno di 23 anni";"15,2";"11,5";"15,7";"15,6"
"23-24 anni";"28,8";"20,5";"29,8";"30,3"
"25-26 anni";"27,5";"30,1";"27,0";"28,7"
"27 anni e oltre";"28,5";"37,8";"27,5";"25,4"
"Età alla laurea (medie, in anni)";"26,2";"26,8";"26,0";"27,0"
"Cittadini stranieri (%) ";"0,5";"0,6";"0,5";"-"
"Residenza (%)";" ";" ";" ";" "
"Stessa provincia della sede degli studi";"67,2";"65,4";"65,4";"86,9"
"Altra provincia della stessa regione";"28,8";"29,5";"30,3";"13,1"
"Altra regione";"3,7";"4,5";"3,9";"-"
"Estero";"0,3";"0,6";"0,3";"-"
"2. ORIGINE SOCIALE"
"";"Collettivo selezionato";"Architettura (Fac.)";"Ingegneria - sede di Bari (Fac.)";"Ingegneria 2 (Taranto) (Fac.)"
"Titolo di studio dei genitori (%)";" ";" ";" ";" "
"Entrambi con laurea";"8,2";"9,6";"8,3";"5,1"
"Uno solo con laurea";"17,1";"20,0";"17,0";"15,2"
"Scuola media superiore";"45,8";"48,8";"45,8";"42,4"
"Titoli inferiori o nessun titolo";"27,3";"18,4";"27,5";"37,4"
"Classe sociale (%) ";" ";" ";" ";" "
"Borghesia";"17,8";"19,2";"18,0";"14,1"
"Classe media impiegatizia";"31,6";"40,0";"30,2";"34,3"
"Piccola borghesia";"19,7";"13,6";"20,9";"16,2"
"Classe operaia";"28,4";"22,4";"28,6";"34,3"
"3. STUDI SECONDARI SUPERIORI"
"";"Collettivo selezionato";"Architettura (Fac.)";"Ingegneria - sede di Bari (Fac.)";"Ingegneria 2 (Taranto) (Fac.)"
"Diploma (%)";" ";" ";" ";" "
"Liceo classico";"6,9";"12,8";"6,5";"3,3"
"Liceo linguistico";"1,1";"2,6";"0,9";"0,8"
"Liceo scientifico";"60,4";"56,4";"62,1";"49,2"
"Liceo socio-psico-pedagogico o ist. magistrale";"0,6";"1,9";"0,3";"1,6"
"Tecnico";"28,8";"17,3";"28,9";"42,6"
"Professionale";"0,7";"0,6";"0,7";"0,8"
"Istruzione artistica";"1,1";"7,7";"0,2";"1,6"
"Titolo estero";"0,3";"0,6";"0,3";"-"
"Voto di diploma (medie, in 100-mi) ";"89,3";"88,0";"89,6";"88,1"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";"Collettivo selezionato";"Architettura (Fac.)";"Ingegneria - sede di Bari (Fac.)";"Ingegneria 2 (Taranto) (Fac.)"
"Hanno precedenti esperienze universitarie (%) ";"35,5";"8,0";"38,4";"41,4"
"Portate a termine";"32,6";"2,4";"36,1";"35,4"
"Non portate a termine";"2,9";"5,6";"2,2";"6,1"
"Nessuna precedente esperienza universitaria";"63,9";"91,2";"60,9";"58,6"
"Motivazioni molto importanti nella scelta del corso di laurea (%) ";" ";" ";" ";" "
"Fattori sia culturali sia professionalizzanti";"52,3";"43,2";"52,5";"61,6"
"Fattori prevalentemente culturali";"18,3";"41,6";"16,0";"12,1"
"Fattori prevalentemente professionalizzanti";"15,1";"4,8";"16,8";"11,1"
"Né gli uni né gli altri";"13,7";"8,8";"14,1";"15,2"
"Età all'immatricolazione (%) ";" ";" ";" ";" "
"Regolare o 1 anno di ritardo";"89,9";"90,4";"90,5";"83,6"
"2 o più anni di ritardo";"10,1";"9,6";"9,5";"16,4"
"Punteggio degli esami (medie, in 30-mi) ";"26,0";"25,6";"26,0";"26,1"
"Voto di laurea (medie, in 110-mi) ";"104,0";"106,1";"103,8";"103,2"
"Regolarità negli studi (%) ";" ";" ";" ";" "
"In corso";"24,1";"15,4";"25,6";"20,5"
"1° anno fuori corso";"30,9";"37,8";"29,9";"32,0"
"2° anno fuori corso";"17,8";"10,3";"18,2";"23,8"
"3° anno fuori corso";"6,7";"5,1";"6,9";"6,6"
"4° anno fuori corso";"5,2";"9,6";"4,7";"4,9"
"5° anno fuori corso e oltre";"15,2";"21,8";"14,7";"12,3"
"Durata degli studi (medie, in anni) ";"5,4";"7,2";"5,2";"5,0"
"Ritardo alla laurea (medie, in anni) ";"1,9";"2,3";"1,9";"1,8"
"Indice di ritardo (rapporto fra ritardo e durata legale del corso) ";"0,55";"0,47";"0,56";"0,59"
"5. CONDIZIONI DI STUDIO"
"";"Collettivo selezionato";"Architettura (Fac.)";"Ingegneria - sede di Bari (Fac.)";"Ingegneria 2 (Taranto) (Fac.)"
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%)";" ";" ";" ";" "
"Più del 50% della durata degli studi";"76,6";"72,0";"77,2";"76,8"
"Meno del 50%";"22,1";"25,6";"21,6";"23,2"
"Hanno frequentato regolarmente (%)";" ";" ";" ";" "
"Più del 75% degli insegnamenti previsti";"85,1";"94,4";"84,5";"78,8"
"Tra il 50% e il 75%";"10,0";"1,6";"10,8";"13,1"
"Tra il 25% e il 50%";"2,2";"0,8";"2,3";"3,0"
"Meno del 25%";"1,5";"0,8";"1,3";"4,0"
"Hanno usufruito del servizio di borse di studio (%)";"25,4";"26,4";"24,8";"29,3"
"Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%)";"7,7";"14,4";"7,4";"2,0"
"Con Erasmus o altro programma dell'Unione Europea";"5,0";"4,0";"5,5";"1,0"
"Altra esperienza riconosciuta dal corso di studi";"1,5";"8,8";"0,7";"-"
"Iniziativa personale";"1,2";"1,6";"1,1";"1,0"
"Non hanno compiuto studi all'estero";"92,0";"84,8";"92,3";"98,0"
"1 o più esami all'estero convalidati (%)";"4,1";"4,0";"4,5";"1,0"
"Hanno preparato all'estero una parte significativa della tesi (%)";"6,4";"32,0";"3,7";"1,0"
"Hanno svolto tirocini/stage o lavoro riconosciuti dal corso di laurea (%)";"57,7";"40,0";"58,1";"75,8"
"Tirocini organizzati dal corso e svolti presso l'università";"28,5";"12,0";"30,5";"29,3"
"Tirocini organizzati dal corso e svolti al di fuori dell'università";"22,5";"23,2";"21,4";"32,3"
"Attività di lavoro successivamente riconosciute dal corso";"6,0";"3,2";"5,6";"13,1"
"Nessuna esperienza di tirocinio o lavoro riconosciuto";"41,5";"58,4";"41,1";"24,2"
"Mesi impiegati per la tesi/prova finale (medie)";"5,6";"9,2";"5,2";"5,3"
"6. LAVORO DURANTE GLI STUDI"
"";"Collettivo selezionato";"Architettura (Fac.)";"Ingegneria - sede di Bari (Fac.)";"Ingegneria 2 (Taranto) (Fac.)"
"Hanno esperienze di lavoro (%) ";"68,4";"71,2";"67,9";"69,7"
"Lavoratori-studenti";"3,4";"4,0";"3,0";"7,1"
"Altre esperienze di lavoro con continuità a tempo pieno";"4,4";"5,6";"4,5";"2,0"
"Lavoro a tempo parziale";"16,5";"22,4";"15,6";"18,2"
"Lavoro occasionale, saltuario, stagionale";"44,1";"39,2";"44,9";"42,4"
"Nessuna esperienza di lavoro";"31,5";"28,8";"32,0";"29,3"
"Lavoro coerente con gli studi";"16,2";"27,2";"13,8";"25,3"
"7. GIUDIZI SULL'ESPERIENZA UNIVERSITARIA"
"";"Collettivo selezionato";"Architettura (Fac.)";"Ingegneria - sede di Bari (Fac.)";"Ingegneria 2 (Taranto) (Fac.)"
"Sono complessivamente soddisfatti del corso di laurea (%)";" ";" ";" ";" "
"Decisamente sì";"26,3";"20,8";"25,6";"40,4"
"Più sì che no";"60,1";"58,4";"61,1";"51,5"
"Più no che sì";"11,1";"16,0";"10,9";"7,1"
"Decisamente no";"1,4";"4,0";"1,2";"-"
"Sono soddisfatti dei rapporti con i docenti in generale (%)";" ";" ";" ";" "
"Decisamente sì";"13,0";"17,6";"11,1";"26,3"
"Più sì che no";"63,5";"62,4";"63,6";"64,6"
"Più no che sì";"21,0";"17,6";"22,8";"8,1"
"Decisamente no";"1,5";"1,6";"1,6";"-"
"Sono soddisfatti dei rapporti con gli studenti (%)";" ";" ";" ";" "
"Decisamente sì";"57,3";"65,6";"56,6";"54,5"
"Più sì che no";"37,2";"24,0";"38,7";"39,4"
"Più no che sì";"3,8";"7,2";"3,3";"5,1"
