"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"Architettura (Fac.)";"Ingegneria - sede di Bari (Fac.)";"Ingegneria 2 (Taranto) (Fac.)";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Numero dei laureati";"1704";"145";"921";"118";"165";"133";"190";"32"
"Hanno compilato il questionario";"1652";"140";"891";"113";"161";"130";"186";"31"
"Tasso di compilazione";"96,9";"96,6";"96,7";"95,8";"97,6";"97,7";"97,9";"96,9"
"1. ANAGRAFICO"
"";"Collettivo selezionato";"Architettura (Fac.)";"Ingegneria - sede di Bari (Fac.)";"Ingegneria 2 (Taranto) (Fac.)";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Genere (%)";" ";" ";" ";" ";" ";" ";" ";" "
"Uomini";"68,4";"38,6";"71,8";"69,5";"61,8";"85,7";"72,6";"40,6"
"Donne";"31,6";"61,4";"28,2";"30,5";"38,2";"14,3";"27,4";"59,4"
"Età alla laurea (%) ";" ";" ";" ";" ";" ";" ";" ";" "
"Meno di 23 anni";"13,2";"8,3";"13,6";"10,2";"6,1";"15,0";"24,2";"-"
"23-24 anni";"26,5";"18,6";"26,4";"31,4";"30,3";"23,3";"28,9";"25,0"
"25-26 anni";"30,8";"42,1";"30,2";"27,1";"30,3";"28,6";"27,4";"40,6"
"27 anni e oltre";"29,6";"31,0";"29,9";"31,4";"33,3";"33,1";"19,5";"34,4"
"Età alla laurea (medie, in anni)";"26,2";"26,5";"26,2";"26,6";"26,5";"26,2";"25,3";"27,1"
"Cittadini stranieri (%) ";"0,6";"2,1";"0,4";"-";"-";"0,8";"1,1";"-"
"Residenza (%)";" ";" ";" ";" ";" ";" ";" ";" "
"Stessa provincia della sede degli studi";"65,9";"59,3";"64,9";"91,5";"60,6";"61,7";"65,3";"78,1"
"Altra provincia della stessa regione";"30,7";"36,6";"31,7";"7,6";"37,0";"32,3";"30,5";"21,9"
"Altra regione";"3,3";"3,4";"3,4";"0,8";"1,8";"6,0";"4,2";"-"
"Estero";"0,1";"0,7";"-";"-";"0,6";"-";"-";"-"
"2. ORIGINE SOCIALE"
"";"Collettivo selezionato";"Architettura (Fac.)";"Ingegneria - sede di Bari (Fac.)";"Ingegneria 2 (Taranto) (Fac.)";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Titolo di studio dei genitori (%)";" ";" ";" ";" ";" ";" ";" ";" "
"Entrambi con laurea";"10,1";"11,4";"10,5";"6,2";"7,5";"8,5";"11,3";"19,4"
"Uno solo con laurea";"17,1";"20,7";"17,4";"12,4";"16,8";"13,8";"17,7";"19,4"
"Scuola media superiore";"46,1";"44,3";"45,9";"47,8";"47,8";"49,2";"42,5";"51,6"
"Titoli inferiori o nessun titolo";"25,3";"22,9";"24,7";"32,7";"25,5";"27,7";"26,3";"9,7"
"Classe sociale (%) ";" ";" ";" ";" ";" ";" ";" ";" "
"Borghesia";"18,3";"22,9";"18,2";"13,3";"19,9";"11,5";"18,3";"41,9"
"Classe media impiegatizia";"31,7";"33,6";"32,7";"23,0";"31,7";"34,6";"29,0";"29,0"
"Piccola borghesia";"20,5";"17,9";"21,2";"15,0";"22,4";"16,2";"25,3";"9,7"
"Classe operaia";"27,1";"22,9";"25,5";"48,7";"24,2";"36,2";"22,6";"19,4"
"3. STUDI SECONDARI SUPERIORI"
"";"Collettivo selezionato";"Architettura (Fac.)";"Ingegneria - sede di Bari (Fac.)";"Ingegneria 2 (Taranto) (Fac.)";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Diploma (%)";" ";" ";" ";" ";" ";" ";" ";" "
"Liceo classico";"6,2";"10,3";"6,3";"2,5";"8,5";"2,3";"5,8";"6,3"
"Liceo linguistico";"1,1";"2,1";"1,0";"0,8";"-";"-";"2,6";"-"
"Liceo scientifico";"61,9";"65,5";"62,3";"52,5";"58,2";"51,9";"71,1";"71,9"
"Liceo socio-psico-pedagogico o ist. magistrale";"0,4";"1,4";"0,2";"-";"0,6";"-";"0,5";"-"
"Tecnico";"28,5";"12,4";"28,6";"43,2";"32,1";"44,4";"18,4";"18,8"
"Professionale";"0,7";"1,4";"1,0";"-";"-";"0,8";"-";"-"
"Istruzione artistica";"0,9";"4,1";"0,5";"0,8";"0,6";"-";"0,5";"3,1"
"Titolo estero";"0,4";"2,1";"0,1";"-";"-";"0,8";"1,1";"-"
"Voto di diploma (medie, in 100-mi) ";"89,1";"87,6";"89,4";"87,6";"87,3";"91,0";"90,2";"89,2"
"Hanno conseguito il diploma (%) ";" ";" ";" ";" ";" ";" ";" ";" "
"Nella stessa provincia della sede degli studi universitari";"65,0";"59,3";"64,3";"90,7";"59,4";"58,6";"63,7";"78,1"
"In una provincia limitrofa";"25,9";"28,3";"26,4";"8,5";"24,8";"33,8";"28,9";"18,8"
