"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Numero dei laureati";"1688";"593";"296";"563";"236"
"Hanno compilato il questionario";"1658";"582";"290";"558";"228"
"Tasso di compilazione";"98,2";"98,1";"98,0";"99,1";"96,6"
"1. ANAGRAFICO"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Genere (%)";" ";" ";" ";" ";" "
"Uomini";"65,9";"59,9";"87,2";"71,6";"40,7"
"Donne";"34,1";"40,1";"12,8";"28,4";"59,3"
"Età alla laurea (%) ";" ";" ";" ";" ";" "
"Meno di 23 anni";"11,7";"10,6";"11,1";"16,9";"3,0"
"23-24 anni";"29,7";"32,2";"29,1";"33,0";"16,1"
"25-26 anni";"27,4";"24,6";"21,3";"27,4";"41,9"
"27 anni e oltre";"31,2";"32,5";"38,5";"22,7";"39,0"
"Età alla laurea (medie, in anni)";"26,3";"26,3";"27,0";"25,5";"27,1"
"Cittadini stranieri (%) ";"0,4";"0,7";"0,3";"0,4";"-"
"Residenza (%)";" ";" ";" ";" ";" "
"Stessa provincia della sede degli studi";"66,4";"66,1";"65,5";"66,3";"68,2"
"Altra provincia della stessa regione";"29,3";"31,2";"29,7";"28,2";"26,7"
"Altra regione";"4,2";"2,7";"4,4";"5,3";"5,1"
"Estero";"0,1";"-";"0,3";"0,2";"-"
"2. ORIGINE SOCIALE"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Titolo di studio dei genitori (%)";" ";" ";" ";" ";" "
"Entrambi con laurea";"9,7";"8,6";"8,3";"10,2";"13,2"
"Uno solo con laurea";"16,9";"15,3";"14,5";"17,4";"22,8"
"Scuola media superiore";"47,0";"48,8";"45,2";"49,3";"39,5"
"Titoli inferiori o nessun titolo";"25,2";"25,8";"30,7";"22,0";"24,6"
"Classe sociale (%) ";" ";" ";" ";" ";" "
"Borghesia";"20,4";"22,3";"12,4";"20,6";"25,0"
"Classe media impiegatizia";"28,4";"23,0";"30,7";"32,6";"28,9"
"Piccola borghesia";"20,2";"23,9";"20,3";"16,3";"20,2"
"Classe operaia";"28,9";"28,2";"34,1";"28,3";"25,4"
"3. STUDI SECONDARI SUPERIORI"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Diploma (%)";" ";" ";" ";" ";" "
"Liceo classico";"7,8";"8,8";"3,7";"7,8";"10,6"
"Liceo linguistico";"1,4";"1,3";"-";"1,4";"3,0"
"Liceo scientifico";"63,4";"60,5";"49,0";"71,4";"69,9"
"Liceo socio-psico-pedagogico o ist. magistrale";"0,5";"0,7";"1,0";"0,4";"-"
"Tecnico";"24,2";"26,1";"42,6";"18,8";"9,3"
"Professionale";"0,5";"0,3";"1,7";"0,2";"0,4"
"Istruzione artistica";"1,7";"1,7";"1,0";"-";"6,8"
"Titolo estero";"0,4";"0,5";"1,0";"-";"-"
"Voto di diploma (medie, in 100-mi) ";"88,0";"86,3";"90,1";"88,5";"88,2"
"Hanno conseguito il diploma (%) ";" ";" ";" ";" ";" "
"Nella stessa provincia della sede degli studi universitari";"65,8";"65,9";"63,2";"65,9";"68,6"
