"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia (attiva fino al 2006) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza (attiva fino al 2006) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali (attiva fino al 2006) (Fac.)";"Scienze politiche (Fac.)"
"Numero dei laureati";"8272";"151";"1150";"200";"1620";"610";"468";"933";"86";"62";"1659";"908";"425"
"Hanno compilato il questionario";"6020";"149";"1011";"182";"997";"459";"413";"376";"82";"58";"1173";"833";"287"
"Tasso di compilazione";"72,8";"98,7";"87,9";"91,0";"61,5";"75,2";"88,2";"40,3";"95,3";"93,5";"70,7";"91,7";"67,5"
"1. ANAGRAFICO"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia (attiva fino al 2006) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza (attiva fino al 2006) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali (attiva fino al 2006) (Fac.)";"Scienze politiche (Fac.)"
"Genere (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Uomini";"33,1";"68,9";"48,4";"29,0";"42,5";"21,1";"10,7";"37,1";"48,8";"29,0";"8,3";"45,8";"44,7"
"Donne";"66,9";"31,1";"51,6";"71,0";"57,5";"78,9";"89,3";"62,9";"51,2";"71,0";"91,7";"54,2";"55,3"
"Età alla laurea (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Meno di 23 anni";"14,2";"9,9";"12,6";"1,0";"9,6";"10,7";"18,6";"9,5";"-";"80,6";"21,8";"17,6";"10,4"
"23-24 anni";"27,9";"25,2";"32,1";"21,0";"23,6";"26,7";"30,6";"29,7";"14,0";"16,1";"32,1";"26,1";"23,3"
"25-26 anni";"21,8";"17,9";"25,3";"25,0";"23,5";"24,8";"20,7";"24,8";"29,1";"1,6";"18,1";"18,3";"18,6"
"27 anni e oltre";"36,2";"47,0";"30,0";"53,0";"43,3";"37,9";"30,1";"36,0";"57,0";"1,6";"28,0";"38,0";"47,8"
"Età alla laurea (medie, in anni)";"26,9";"27,5";"26,6";"27,5";"27,7";"27,0";"26,1";"27,2";"28,1";"22,5";"26,2";"26,6";"28,4"
"Cittadini stranieri (%) ";"1,4";"2,6";"2,4";"7,5";"0,7";"0,2";"1,9";"2,9";"-";"-";"0,4";"1,1";"1,2"
"Residenza (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Stessa provincia della sede degli studi";"71,6";"64,9";"71,2";"64,5";"68,9";"71,5";"77,4";"74,6";"53,5";"75,8";"74,8";"69,7";"70,1"
"Altra provincia della stessa regione";"21,4";"29,8";"18,9";"28,5";"23,3";"21,5";"14,1";"20,0";"32,6";"19,4";"20,2";"24,1";"21,9"
"Altra regione";"6,5";"4,0";"9,5";"4,5";"7,7";"6,7";"7,5";"4,0";"14,0";"4,8";"4,8";"5,8";"7,5"
"Estero";"0,5";"1,3";"0,4";"2,5";"0,1";"0,3";"1,1";"1,4";"-";"-";"0,2";"0,3";"0,5"
"2. ORIGINE SOCIALE"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia (attiva fino al 2006) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza (attiva fino al 2006) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali (attiva fino al 2006) (Fac.)";"Scienze politiche (Fac.)"
"Titolo di studio dei genitori (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Entrambi con laurea";"7,1";"5,4";"7,0";"10,4";"11,9";"8,9";"7,0";"8,8";"7,3";"6,9";"2,5";"6,1";"6,3"
"Uno solo con laurea";"12,9";"18,1";"11,8";"17,6";"17,3";"15,3";"12,6";"11,2";"13,4";"13,8";"8,6";"12,6";"12,5"
"Scuola media superiore";"38,9";"34,2";"37,4";"33,0";"38,8";"39,4";"41,6";"39,6";"45,1";"46,6";"40,2";"38,3";"38,3"
"Titoli inferiori o nessun titolo";"39,2";"40,3";"42,4";"37,9";"30,5";"35,9";"38,5";"38,0";"32,9";"32,8";"44,1";"41,5";"42,5"
"Classe sociale (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Borghesia";"15,0";"13,4";"16,9";"25,8";"21,5";"14,6";"12,3";"14,9";"23,2";"12,1";"8,8";"12,2";"15,3"
"Classe media impiegatizia";"30,7";"30,9";"24,5";"23,1";"33,0";"35,3";"35,4";"28,7";"35,4";"32,8";"29,5";"33,9";"31,0"
"Piccola borghesia";"21,7";"30,2";"25,0";"22,5";"18,2";"21,8";"23,5";"19,1";"20,7";"19,0";"22,0";"21,5";"19,2"
"Classe operaia";"27,2";"21,5";"29,5";"25,3";"22,4";"25,5";"25,4";"31,4";"18,3";"31,0";"29,8";"27,9";"29,3"
"3. STUDI SECONDARI SUPERIORI"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia (attiva fino al 2006) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza (attiva fino al 2006) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali (attiva fino al 2006) (Fac.)";"Scienze politiche (Fac.)"
"Diploma (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Liceo classico";"20,5";"11,3";"7,3";"24,0";"34,8";"47,7";"17,3";"13,9";"20,9";"17,7";"15,4";"12,2";"20,7"
"Liceo linguistico";"4,7";"0,7";"1,7";"0,5";"3,3";"3,8";"32,1";"2,8";"3,5";"4,8";"4,5";"0,9";"5,2"
"Liceo scientifico";"32,2";"43,7";"35,9";"48,0";"29,9";"25,6";"27,6";"29,0";"53,5";"58,1";"21,8";"53,0";"28,2"
"Liceo socio-psico-pedagogico o ist. magistrale";"9,2";"0,7";"0,6";"4,5";"3,5";"10,5";"5,3";"7,5";"4,7";"-";"27,8";"3,2";"7,1"
"Tecnico";"24,1";"36,4";"49,9";"12,0";"24,3";"7,0";"12,6";"22,4";"12,8";"9,7";"15,4";"25,8";"30,8"
"Professionale";"4,6";"4,6";"1,9";"3,0";"2,3";"1,6";"1,7";"16,8";"4,7";"4,8";"5,2";"2,5";"3,5"
"Istruzione artistica";"0,6";"0,7";"0,2";"0,5";"0,2";"1,1";"0,2";"1,1";"-";"-";"1,0";"0,4";"0,5"
"Titolo estero";"1,2";"2,0";"2,0";"7,0";"0,8";"0,2";"2,6";"1,5";"-";"-";"0,3";"1,2";"1,4"
"Voto di diploma (medie, in 100-mi) ";"81,8";"79,3";"85,1";"84,1";"80,7";"83,0";"85,1";"78,9";"78,1";"92,2";"80,1";"84,7";"78,6"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia (attiva fino al 2006) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza (attiva fino al 2006) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali (attiva fino al 2006) (Fac.)";"Scienze politiche (Fac.)"
"Hanno precedenti esperienze universitarie (%) ";"10,0";"9,4";"6,2";"9,9";"4,7";"15,0";"9,0";"12,8";"15,9";"8,6";"14,0";"11,5";"10,8"
"Portate a termine";"1,6";"2,7";"1,4";"-";"0,9";"1,7";"1,2";"1,6";"1,2";"-";"1,6";"3,4";"0,3"
"Non portate a termine";"8,5";"6,7";"4,8";"9,9";"3,8";"13,3";"7,7";"11,2";"14,6";"8,6";"12,4";"8,2";"10,5"
"Nessuna precedente esperienza universitaria";"88,5";"89,9";"92,6";"88,5";"93,7";"83,0";"89,1";"84,3";"81,7";"91,4";"85,1";"87,4";"86,4"
"Età all'immatricolazione (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Regolare o 1 anno di ritardo";"84,6";"89,4";"90,4";"93,5";"91,7";"87,4";"91,9";"63,6";"89,5";"96,8";"78,3";"90,4";"80,2"
"2 o più anni di ritardo";"15,4";"10,6";"9,6";"6,5";"8,3";"12,6";"8,1";"36,4";"10,5";"3,2";"21,7";"9,6";"19,8"
"Punteggio degli esami (medie, in 30-mi) ";"26,6";"25,6";"26,4";"24,6";"25,8";"27,9";"27,6";"26,5";"25,8";"27,0";"27,5";"26,1";"26,4"
"Voto di laurea (medie, in 110-mi) ";"105,7";"105,0";"106,2";"100,3";"101,8";"109,5";"108,4";"106,1";"102,2";"108,5";"108,5";"104,8";"104,4"
"Regolarità negli studi (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"In corso";"25,7";"19,2";"16,7";"18,5";"12,5";"15,1";"21,8";"43,6";"18,6";"74,2";"42,1";"27,2";"14,1"
"1° anno fuori corso";"24,9";"21,9";"32,5";"17,5";"21,4";"24,8";"26,9";"27,8";"14,0";"25,8";"24,5";"22,1";"23,5"
"2° anno fuori corso";"12,9";"13,2";"14,9";"14,5";"14,6";"15,7";"11,3";"10,8";"9,3";"-";"11,6";"11,9";"12,5"
"3° anno fuori corso";"10,3";"13,2";"11,2";"14,5";"12,7";"13,0";"10,9";"6,6";"19,8";"-";"8,2";"9,4";"8,7"
"4° anno fuori corso";"7,0";"7,9";"7,1";"14,0";"10,0";"8,2";"8,3";"2,1";"10,5";"-";"5,1";"6,8";"7,3"
"5° anno fuori corso e oltre";"19,2";"24,5";"17,6";"21,0";"28,8";"23,3";"20,7";"9,0";"27,9";"-";"8,6";"22,6";"33,9"
"Durata degli studi (medie, in anni) ";"6,4";"7,3";"6,4";"7,9";"7,5";"6,8";"6,5";"5,6";"8,1";"3,2";"5,1";"6,5";"7,5"
"Ritardo alla laurea (medie, in anni) ";"2,2";"2,6";"2,3";"2,6";"3,2";"2,6";"2,5";"1,4";"2,9";"0,1";"1,2";"2,3";"3,3"
