"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia - sede di Bari (attiva dal 2007) (Fac.)";"Economia 2 (Taranto) (attiva dal 2007) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza - sede di Bari (attiva dal 2007) (Fac.)(1) ";"Giurisprudenza 2 (Taranto) (attiva dal 2007) (Fac.)(1) ";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)(1) ";"Scienze matematiche, fisiche e naturali - sede di Bari (attiva dal 2007) (Fac.)";"Scienze matematiche, fisiche e naturali 2 (Taranto) (attiva dal 2007) (Fac.)";"Scienze politiche (Fac.)(1) "
"Numero dei laureati";"8154";"141";"1059";"194";"195";"935";"114";"638";"537";"1100";"115";"102";"1740";"822";"27";"435"
"Hanno compilato il questionario";"5093";"134";"822";"126";"182";"453";"62";"400";"387";"487";"93";"97";"980";"639";"25";"206"
"Tasso di compilazione";"62,5";"95,0";"77,6";"64,9";"93,3";"48,4";"54,4";"62,7";"72,1";"44,3";"80,9";"95,1";"56,3";"77,7";"92,6";"47,4"
"1. ANAGRAFICO"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia - sede di Bari (attiva dal 2007) (Fac.)";"Economia 2 (Taranto) (attiva dal 2007) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza - sede di Bari (attiva dal 2007) (Fac.)(1) ";"Giurisprudenza 2 (Taranto) (attiva dal 2007) (Fac.)(1) ";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)(1) ";"Scienze matematiche, fisiche e naturali - sede di Bari (attiva dal 2007) (Fac.)";"Scienze matematiche, fisiche e naturali 2 (Taranto) (attiva dal 2007) (Fac.)";"Scienze politiche (Fac.)(1) "
"Genere (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Uomini";"32,6";"60,3";"52,6";"51,0";"26,2";"41,6";"34,2";"22,1";"10,6";"32,1";"53,0";"27,5";"12,1";"43,2";"33,3";"51,0"
"Donne";"67,4";"39,7";"47,4";"49,0";"73,8";"58,4";"65,8";"77,9";"89,4";"67,9";"47,0";"72,5";"87,9";"56,8";"66,7";"49,0"
"Età alla laurea (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Meno di 23 anni";"14,6";"15,6";"16,0";"20,6";"2,1";"0,7";"1,8";"14,4";"19,0";"15,0";"1,7";"51,0";"22,5";"12,2";"33,3";"6,9"
