"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia - sede di Bari (attiva dal 2007) (Fac.)";"Economia 2 (Taranto) (attiva dal 2007) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza - sede di Bari (attiva dal 2007) (Fac.)(1) ";"Giurisprudenza 2 (Taranto) (attiva dal 2007) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)(1) ";"Scienze matematiche, fisiche e naturali - sede di Bari (attiva dal 2007) (Fac.)";"Scienze matematiche, fisiche e naturali 2 (Taranto) (attiva dal 2007) (Fac.)";"Scienze politiche (Fac.)(1) "
"Numero dei laureati";"7917";"148";"1084";"165";"208";"875";"121";"643";"475";"1104";"79";"161";"1638";"811";"40";"365"
"Hanno compilato il questionario";"5236";"139";"880";"123";"193";"452";"73";"396";"340";"636";"68";"151";"901";"653";"36";"195"
"Tasso di compilazione";"66,1";"93,9";"81,2";"74,5";"92,8";"51,7";"60,3";"61,6";"71,6";"57,6";"86,1";"93,8";"55,0";"80,5";"90,0";"53,4"
"1. ANAGRAFICO"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia - sede di Bari (attiva dal 2007) (Fac.)";"Economia 2 (Taranto) (attiva dal 2007) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza - sede di Bari (attiva dal 2007) (Fac.)(1) ";"Giurisprudenza 2 (Taranto) (attiva dal 2007) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)(1) ";"Scienze matematiche, fisiche e naturali - sede di Bari (attiva dal 2007) (Fac.)";"Scienze matematiche, fisiche e naturali 2 (Taranto) (attiva dal 2007) (Fac.)";"Scienze politiche (Fac.)(1) "
"Genere (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Uomini";"31,5";"70,3";"49,7";"42,4";"21,6";"40,3";"37,2";"23,3";"9,3";"29,2";"49,4";"27,3";"11,0";"45,4";"62,5";"44,7"
"Donne";"68,5";"29,7";"50,3";"57,6";"78,4";"59,7";"62,8";"76,7";"90,7";"70,8";"50,6";"72,7";"89,0";"54,6";"37,5";"55,3"
"Età alla laurea (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Meno di 23 anni";"15,1";"15,5";"15,9";"24,2";"1,9";"0,3";"0,8";"12,3";"18,5";"15,9";"5,1";"46,0";"22,6";"13,8";"35,0";"9,9"
"23-24 anni";"28,8";"22,3";"33,3";"23,6";"21,2";"22,9";"22,3";"35,3";"34,7";"25,9";"16,5";"39,1";"30,6";"28,9";"25,0";"21,4"
"25-26 anni";"23,1";"23,6";"27,5";"17,6";"23,6";"28,0";"38,8";"22,7";"25,1";"20,0";"20,3";"14,9";"17,0";"28,1";"15,0";"23,8"
"27 anni e oltre";"33,0";"38,5";"23,3";"34,5";"53,4";"48,8";"38,0";"29,7";"21,7";"38,1";"58,2";"-";"29,7";"29,2";"25,0";"44,9"
"Età alla laurea (medie, in anni)";"27,1";"27,4";"26,6";"27,9";"27,6";"28,7";"28,9";"27,1";"25,8";"27,7";"28,5";"23,4";"26,8";"26,2";"25,8";"28,5"
"Cittadini stranieri (%) ";"1,4";"-";"1,4";"0,6";"3,4";"0,5";"-";"0,6";"3,4";"3,0";"1,3";"-";"0,3";"1,4";"-";"3,6"
"Residenza (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Stessa provincia della sede degli studi";"76,7";"62,2";"81,4";"87,9";"60,6";"74,7";"90,9";"77,3";"78,7";"76,2";"60,8";"78,3";"79,5";"72,7";"92,5";"67,7"
"Altra provincia della stessa regione";"16,4";"30,4";"8,6";"6,1";"31,7";"16,8";"7,4";"16,3";"14,1";"17,8";"22,8";"16,8";"16,0";"22,3";"7,5";"18,1"
"Altra regione";"6,6";"7,4";"9,9";"6,1";"6,7";"8,5";"1,7";"6,1";"6,1";"5,2";"15,2";"5,0";"4,5";"4,7";"-";"14,0"
"Estero";"0,3";"-";"0,2";"-";"1,0";"-";"-";"0,3";"1,1";"0,8";"1,3";"-";"0,1";"0,2";"-";"0,3"
"2. ORIGINE SOCIALE"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia - sede di Bari (attiva dal 2007) (Fac.)";"Economia 2 (Taranto) (attiva dal 2007) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza - sede di Bari (attiva dal 2007) (Fac.)(1) ";"Giurisprudenza 2 (Taranto) (attiva dal 2007) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)(1) ";"Scienze matematiche, fisiche e naturali - sede di Bari (attiva dal 2007) (Fac.)";"Scienze matematiche, fisiche e naturali 2 (Taranto) (attiva dal 2007) (Fac.)";"Scienze politiche (Fac.)(1) "
"Titolo di studio dei genitori (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Entrambi con laurea";"7,0";"5,8";"6,0";"0,8";"15,5";"10,8";"11,0";"8,6";"5,6";"7,2";"11,8";"9,9";"4,0";"8,3";"2,8";"3,1"
"Uno solo con laurea";"13,2";"12,9";"15,1";"8,9";"12,4";"21,9";"17,8";"13,9";"13,8";"11,3";"19,1";"17,2";"8,7";"13,0";"11,1";"7,7"
"Scuola media superiore";"40,9";"30,2";"39,3";"46,3";"34,2";"37,4";"41,1";"46,5";"42,6";"37,6";"41,2";"47,7";"45,1";"40,3";"38,9";"40,0"
"Titoli inferiori o nessun titolo";"36,6";"51,1";"38,1";"42,3";"36,8";"27,4";"26,0";"29,5";"36,2";"40,9";"27,9";"21,2";"38,6";"36,0";"44,4";"47,7"
"Classe sociale (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Borghesia";"14,9";"14,4";"17,3";"7,3";"22,8";"20,8";"23,3";"15,4";"12,4";"13,5";"25,0";"20,5";"11,3";"12,9";"8,3";"9,7"
"Classe media impiegatizia";"30,2";"20,9";"27,3";"24,4";"27,5";"38,1";"31,5";"33,3";"31,5";"28,8";"29,4";"31,8";"31,2";"30,3";"38,9";"26,7"
"Piccola borghesia";"21,9";"37,4";"25,3";"15,4";"20,7";"18,1";"16,4";"22,2";"21,2";"19,7";"19,1";"18,5";"22,2";"21,9";"11,1";"23,6"
"Classe operaia";"29,0";"25,9";"27,4";"48,8";"25,9";"19,0";"21,9";"27,0";"30,0";"32,4";"25,0";"25,2";"31,0";"30,8";"36,1";"35,4"
"3. STUDI SECONDARI SUPERIORI"
