"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia - sede di Bari (attiva dal 2007) (Fac.)";"Economia 2 (Taranto) (attiva dal 2007) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza - sede di Bari (attiva dal 2007) (Fac.)";"Giurisprudenza 2 (Taranto) (attiva dal 2007) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali - sede di Bari (attiva dal 2007) (Fac.)";"Scienze matematiche, fisiche e naturali 2 (Taranto) (attiva dal 2007) (Fac.)";"Scienze politiche (Fac.)"
"Numero dei laureati";"7876";"123";"1041";"104";"246";"815";"131";"700";"477";"1182";"99";"122";"1673";"783";"50";"330"
"Hanno compilato il questionario";"5641";"111";"879";"75";"235";"504";"81";"481";"331";"824";"90";"116";"1031";"625";"46";"212"
"Tasso di compilazione";"71,6";"90,2";"84,4";"72,1";"95,5";"61,8";"61,8";"68,7";"69,4";"69,7";"90,9";"95,1";"61,6";"79,8";"92,0";"64,2"
"1. ANAGRAFICO"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia - sede di Bari (attiva dal 2007) (Fac.)";"Economia 2 (Taranto) (attiva dal 2007) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza - sede di Bari (attiva dal 2007) (Fac.)";"Giurisprudenza 2 (Taranto) (attiva dal 2007) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali - sede di Bari (attiva dal 2007) (Fac.)";"Scienze matematiche, fisiche e naturali 2 (Taranto) (attiva dal 2007) (Fac.)";"Scienze politiche (Fac.)"
"Genere (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Uomini";"33,1";"69,1";"49,0";"47,1";"30,5";"43,9";"38,2";"21,4";"12,4";"35,0";"52,5";"26,2";"13,1";"46,7";"54,0";"49,7"
"Donne";"66,9";"30,9";"51,0";"52,9";"69,5";"56,1";"61,8";"78,6";"87,6";"65,0";"47,5";"73,8";"86,9";"53,3";"46,0";"50,3"
"Età alla laurea (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Meno di 23 anni";"15,3";"17,9";"20,1";"17,3";"2,8";"0,4";"-";"16,3";"20,3";"15,3";"5,1";"37,7";"19,4";"16,3";"22,0";"11,8"
"23-24 anni";"26,8";"24,4";"27,2";"32,7";"32,5";"24,2";"19,1";"30,4";"29,1";"22,4";"22,2";"28,7";"27,5";"29,2";"30,0";"24,5"
"25-26 anni";"23,8";"22,8";"27,8";"15,4";"21,5";"28,8";"30,5";"24,1";"27,3";"20,6";"15,2";"27,9";"20,4";"24,9";"24,0";"22,7"
"27 anni e oltre";"34,1";"35,0";"25,0";"34,6";"43,1";"46,6";"50,4";"29,1";"23,3";"41,6";"57,6";"5,7";"32,8";"29,5";"24,0";"40,9"
"Età alla laurea (medie, in anni)";"27,2";"27,1";"26,2";"27,7";"27,2";"28,7";"29,3";"26,7";"25,7";"28,1";"29,1";"24,2";"27,4";"26,2";"25,8";"28,6"
"Cittadini stranieri (%) ";"1,3";"0,8";"1,2";"-";"3,7";"1,0";"-";"0,1";"2,9";"3,3";"-";"1,6";"0,4";"0,8";"-";"2,1"
"Residenza (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Stessa provincia della sede degli studi";"68,7";"64,2";"70,9";"90,4";"53,3";"68,2";"91,6";"70,4";"69,8";"69,6";"56,6";"67,2";"67,2";"67,2";"90,0";"64,2"
"Altra provincia della stessa regione";"24,9";"25,2";"20,3";"5,8";"39,4";"23,3";"3,8";"25,3";"23,9";"23,4";"32,3";"29,5";"28,7";"28,1";"8,0";"24,8"
"Altra regione";"6,0";"9,8";"8,8";"3,8";"6,9";"8,2";"4,6";"4,1";"5,2";"6,0";"11,1";"3,3";"3,9";"4,5";"2,0";"10,9"
"Estero";"0,3";"0,8";"-";"-";"0,4";"0,2";"-";"0,1";"1,0";"0,9";"-";"-";"0,1";"0,3";"-";"-"
"2. ORIGINE SOCIALE"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia - sede di Bari (attiva dal 2007) (Fac.)";"Economia 2 (Taranto) (attiva dal 2007) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza - sede di Bari (attiva dal 2007) (Fac.)";"Giurisprudenza 2 (Taranto) (attiva dal 2007) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali - sede di Bari (attiva dal 2007) (Fac.)";"Scienze matematiche, fisiche e naturali 2 (Taranto) (attiva dal 2007) (Fac.)";"Scienze politiche (Fac.)"
"Titolo di studio dei genitori (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
