"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Filosofia, letteratura storia e scienze sociali (FLESS) (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze dell'antichita' e del tardoantico (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi aziendali e giusprivatistici (Dip.)"
"Numero dei laureati";"7618";"1005";"159";"171";"62";"205";"130";"85";"606";"243";"402";"74";"1169";"120";"61";"115";"1363";"53";"157";"328";"401";"709"
"Hanno compilato il questionario";"6144";"767";"134";"160";"58";"194";"78";"82";"463";"220";"263";"69";"1025";"109";"53";"110";"955";"46";"103";"312";"298";"645"
"Tasso di compilazione";"80,7";"76,3";"84,3";"93,6";"93,5";"94,6";"60,0";"96,5";"76,4";"90,5";"65,4";"93,2";"87,7";"90,8";"86,9";"95,7";"70,1";"86,8";"65,6";"95,1";"74,3";"91,0"
"1. ANAGRAFICO"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Filosofia, letteratura storia e scienze sociali (FLESS) (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze dell'antichita' e del tardoantico (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi aziendali e giusprivatistici (Dip.)"
"Genere (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Uomini";"31,5";"15,4";"15,7";"21,6";"43,5";"28,3";"43,8";"65,9";"37,6";"82,7";"47,3";"43,2";"36,4";"34,2";"70,5";"42,6";"8,7";"32,1";"26,1";"50,0";"29,4";"44,9"
"Donne";"68,5";"84,6";"84,3";"78,4";"56,5";"71,7";"56,2";"34,1";"62,4";"17,3";"52,7";"56,8";"63,6";"65,8";"29,5";"57,4";"91,3";"67,9";"73,9";"50,0";"70,6";"55,1"
"Età alla laurea (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Meno di 23 anni";"16,7";"18,1";"30,8";"9,4";"9,7";"1,5";"16,2";"27,1";"0,5";"16,9";"9,7";"25,7";"24,4";"3,3";"26,2";"18,3";"19,0";"9,4";"8,9";"29,0";"14,2";"15,7"
"23-24 anni";"29,2";"32,1";"32,7";"31,0";"29,0";"27,3";"36,9";"30,6";"28,9";"28,4";"23,4";"27,0";"26,8";"28,3";"16,4";"30,4";"27,3";"20,8";"34,4";"33,8";"26,9";"34,0"
"25-26 anni";"23,6";"23,2";"12,6";"35,7";"32,3";"33,7";"18,5";"24,7";"31,2";"24,7";"26,4";"20,3";"19,1";"25,0";"26,2";"21,7";"20,9";"24,5";"25,5";"14,3";"23,4";"29,2"
"27 anni e oltre";"30,6";"26,6";"23,9";"24,0";"29,0";"37,6";"28,5";"17,6";"39,4";"30,0";"40,5";"27,0";"29,8";"43,3";"31,1";"29,6";"32,8";"45,3";"31,2";"22,9";"35,4";"21,2"
"Età alla laurea (medie, in anni)";"26,7";"26,2";"25,5";"25,7";"25,9";"27,4";"26,7";"24,9";"27,9";"26,2";"27,5";"26,6";"26,2";"28,0";"26,4";"26,1";"27,5";"26,9";"26,9";"25,7";"28,0";"25,6"
