"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Filosofia, letteratura storia e scienze sociali (FLESS) (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze dell'antichita' e del tardoantico (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi aziendali e giusprivatistici (Dip.)";"Studi umanistici (DISUM) (Dip.)"
"Numero dei laureati";"7251";"1009";"130";"211";"61";"250";"111";"66";"645";"225";"410";"55";"958";"122";"86";"128";"1107";"54";"102";"307";"459";"676";"79"
"Hanno compilato il questionario";"6285";"889";"112";"191";"56";"236";"81";"65";"546";"213";"296";"52";"796";"109";"82";"119";"959";"49";"85";"283";"386";"614";"66"
"Tasso di compilazione";"86,7";"88,1";"86,2";"90,5";"91,8";"94,4";"73,0";"98,5";"84,7";"94,7";"72,2";"94,5";"83,1";"89,3";"95,3";"93,0";"86,6";"90,7";"83,3";"92,2";"84,1";"90,8";"83,5"
"1. ANAGRAFICO"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Filosofia, letteratura storia e scienze sociali (FLESS) (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze dell'antichita' e del tardoantico (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi aziendali e giusprivatistici (Dip.)";"Studi umanistici (DISUM) (Dip.)"
"Genere (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Uomini";"32,7";"16,0";"23,8";"13,7";"54,1";"26,4";"50,5";"71,2";"37,1";"79,1";"52,9";"29,1";"37,9";"37,7";"67,4";"43,0";"13,2";"35,2";"17,6";"51,8";"22,7";"45,6";"30,4"
"Donne";"67,3";"84,0";"76,2";"86,3";"45,9";"73,6";"49,5";"28,8";"62,9";"20,9";"47,1";"70,9";"62,1";"62,3";"32,6";"57,0";"86,8";"64,8";"82,4";"48,2";"77,3";"54,4";"69,6"
"Età alla laurea (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Meno di 23 anni";"17,1";"22,6";"26,2";"11,8";"6,6";"1,2";"18,9";"30,3";"0,8";"18,2";"9,3";"7,3";"20,1";"4,1";"23,3";"7,0";"22,9";"16,7";"10,8";"29,6";"15,7";"20,6";"21,5"
"23-24 anni";"30,4";"30,4";"31,5";"30,3";"29,5";"28,8";"29,7";"34,8";"33,5";"31,6";"25,1";"25,5";"26,3";"17,2";"34,9";"39,8";"27,5";"33,3";"33,3";"37,8";"34,9";"34,8";"30,4"
"25-26 anni";"23,5";"22,7";"20,0";"28,4";"29,5";"25,2";"16,2";"21,2";"31,6";"20,0";"21,0";"34,5";"23,7";"25,4";"19,8";"26,6";"19,6";"22,2";"32,4";"15,6";"21,1";"27,5";"21,5"
"27 anni e oltre";"29,0";"24,3";"22,3";"29,4";"34,4";"44,8";"35,1";"13,6";"34,1";"30,2";"44,6";"32,7";"29,9";"53,3";"22,1";"26,6";"30,0";"27,8";"23,5";"16,9";"28,3";"17,2";"26,6"
"Età alla laurea (medie, in anni)";"26,5";"25,8";"25,5";"26,0";"26,9";"27,3";"27,4";"24,8";"27,7";"25,9";"28,1";"27,1";"26,4";"28,5";"26,5";"26,0";"27,1";"25,8";"26,2";"25,3";"27,1";"25,1";"26,0"
"Cittadini stranieri (%) ";"1,0";"1,1";"0,8";"-";"-";"2,4";"-";"-";"0,6";"-";"-";"-";"1,0";"1,6";"-";"-";"0,7";"1,9";"-";"4,6";"1,7";"1,5";"-"
"Residenza (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Stessa provincia della sede degli studi";"63,8";"58,4";"51,5";"59,7";"78,7";"60,0";"67,6";"65,2";"66,5";"68,0";"76,1";"67,3";"64,1";"42,6";"59,3";"53,1";"64,2";"63,0";"68,6";"72,3";"57,1";"69,2";"58,2"
"Altra provincia della stessa regione";"28,5";"33,7";"39,2";"33,6";"16,4";"34,8";"28,8";"33,3";"26,4";"26,7";"8,0";"29,1";"30,7";"26,2";"36,0";"38,3";"30,9";"27,8";"26,5";"19,9";"33,6";"20,9";"32,9"
"Altra regione";"7,5";"7,4";"8,5";"6,6";"4,9";"4,8";"3,6";"1,5";"7,1";"5,3";"15,9";"3,6";"5,2";"31,1";"4,7";"8,6";"4,8";"9,3";"4,9";"6,2";"9,4";"9,8";"8,9"
"Estero";"0,2";"0,5";"0,8";"-";"-";"0,4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0,1";"-";"-";"1,6";"-";"0,1";"-"
"2. ORIGINE SOCIALE"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Filosofia, letteratura storia e scienze sociali (FLESS) (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze dell'antichita' e del tardoantico (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi aziendali e giusprivatistici (Dip.)";"Studi umanistici (DISUM) (Dip.)"
"Titolo di studio dei genitori (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Entrambi con laurea";"6,9";"5,4";"4,5";"9,4";"8,9";"12,7";"7,4";"12,3";"12,1";"2,3";"3,7";"3,8";"9,7";"11,9";"17,1";"8,4";"3,9";"8,2";"8,2";"3,5";"2,3";"7,2";"10,6"
"Uno solo con laurea";"13,7";"15,5";"19,6";"13,1";"16,1";"19,1";"9,9";"18,5";"20,3";"11,3";"11,1";"17,3";"14,3";"21,1";"17,1";"6,7";"10,6";"22,4";"18,8";"12,4";"5,7";"12,2";"9,1"
"Scuola media superiore";"46,1";"47,9";"47,3";"51,3";"46,4";"36,0";"51,9";"40,0";"44,5";"51,2";"42,6";"51,9";"42,8";"45,0";"30,5";"54,6";"46,4";"40,8";"43,5";"53,4";"45,6";"49,5";"37,9"
"Titoli inferiori o nessun titolo";"31,4";"30,0";"26,8";"23,6";"26,8";"29,7";"27,2";"26,2";"21,4";"32,4";"40,2";"23,1";"31,2";"20,2";"31,7";"29,4";"37,2";"28,6";"27,1";"30,0";"44,8";"29,5";"39,4"
"Classe sociale (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Classe elevata";"16,2";"16,2";"15,2";"16,8";"14,3";"22,9";"16,0";"21,5";"24,0";"10,8";"10,8";"7,7";"16,2";"23,9";"23,2";"14,3";"12,4";"18,4";"15,3";"15,9";"9,6";"20,7";"12,1"
"Classe media impiegatizia";"29,4";"30,8";"28,6";"38,2";"44,6";"28,0";"27,2";"40,0";"31,7";"36,2";"27,7";"40,4";"32,5";"34,9";"30,5";"26,1";"24,2";"36,7";"29,4";"29,3";"26,2";"23,9";"27,3"
"Classe media autonoma";"22,5";"21,1";"25,9";"20,9";"17,9";"22,0";"21,0";"15,4";"21,2";"19,2";"17,9";"23,1";"19,6";"26,6";"26,8";"30,3";"23,4";"20,4";"29,4";"27,6";"23,6";"25,4";"24,2"
"Classe del lavoro esecutivo";"28,4";"29,4";"26,8";"18,3";"19,6";"23,7";"32,1";"20,0";"19,8";"31,0";"39,2";"25,0";"28,9";"12,8";"17,1";"23,5";"36,5";"22,4";"24,7";"23,7";"37,3";"25,2";"24,2"
"3. STUDI SECONDARI SUPERIORI"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Filosofia, letteratura storia e scienze sociali (FLESS) (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze dell'antichita' e del tardoantico (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi aziendali e giusprivatistici (Dip.)";"Studi umanistici (DISUM) (Dip.)"
"Diploma (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Liceo classico";"20,2";"25,5";"24,6";"16,1";"19,7";"25,6";"43,2";"10,6";"38,4";"4,4";"14,9";"7,3";"18,0";"23,0";"16,3";"10,9";"17,4";"25,9";"45,1";"8,8";"15,5";"10,9";"45,6"
