"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Economia, management e diritto dell'impresa (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi umanistici (DISUM) (Dip.)"
"Numero dei laureati";"7507";"978";"144";"215";"59";"712";"225";"56";"655";"278";"433";"61";"1052";"129";"85";"156";"976";"61";"443";"482";"307"
"Hanno compilato il questionario";"6884";"898";"136";"204";"59";"664";"216";"54";"576";"262";"367";"60";"949";"118";"78";"148";"938";"59";"409";"427";"262"
"Tasso di compilazione";"91,7";"91,8";"94,4";"94,9";"100,0";"93,3";"96,0";"96,4";"87,9";"94,2";"84,8";"98,4";"90,2";"91,5";"91,8";"94,9";"96,1";"96,7";"92,3";"88,6";"85,3"
"1. ANAGRAFICO"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Economia, management e diritto dell'impresa (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi umanistici (DISUM) (Dip.)"
"Genere (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Uomini";"35,2";"17,8";"22,2";"21,9";"50,8";"50,0";"24,4";"78,6";"39,8";"85,3";"52,7";"34,4";"36,9";"34,9";"74,1";"39,1";"11,2";"62,3";"53,7";"23,2";"33,9"
"Donne";"64,8";"82,2";"77,8";"78,1";"49,2";"50,0";"75,6";"21,4";"60,2";"14,7";"47,3";"65,6";"63,1";"65,1";"25,9";"60,9";"88,8";"37,7";"46,3";"76,8";"66,1"
"Età alla laurea (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Meno di 23 anni";"18,0";"20,7";"31,3";"10,2";"18,6";"18,7";"-";"26,8";"1,4";"23,4";"9,7";"13,1";"23,3";"3,1";"25,9";"21,2";"23,5";"11,5";"25,5";"19,3";"16,9"
"23-24 anni";"31,1";"31,4";"32,6";"30,7";"22,0";"30,9";"22,7";"35,7";"32,4";"33,8";"26,1";"24,6";"28,3";"20,2";"35,3";"35,9";"32,8";"32,8";"39,7";"32,6";"30,0"
"25-26 anni";"23,6";"24,5";"13,9";"31,6";"20,3";"28,9";"28,0";"16,1";"32,5";"21,9";"21,7";"23,0";"21,6";"25,6";"18,8";"22,4";"18,3";"13,1";"20,8";"22,4";"23,8"
"27 anni e oltre";"27,3";"23,4";"22,2";"27,4";"39,0";"21,5";"49,3";"21,4";"33,7";"20,9";"42,5";"39,3";"26,8";"51,2";"20,0";"20,5";"25,4";"42,6";"14,0";"25,7";"29,3"
"Età alla laurea (medie, in anni)";"26,3";"25,9";"25,4";"25,8";"26,7";"25,4";"27,6";"25,0";"27,3";"25,6";"28,0";"27,8";"26,0";"28,1";"26,4";"25,4";"26,5";"26,8";"25,2";"26,7";"27,1"
"Cittadini stranieri (%) ";"1,2";"2,0";"-";"0,9";"-";"2,0";"1,8";"-";"0,3";"2,2";"0,5";"-";"1,0";"1,6";"1,2";"0,6";"0,5";"-";"2,3";"1,5";"0,7"
"Residenza (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Stessa provincia della sede degli studi";"62,5";"57,8";"47,9";"60,5";"67,8";"69,8";"56,4";"76,8";"59,8";"69,1";"76,2";"70,5";"60,6";"42,6";"58,8";"59,0";"64,9";"60,7";"63,9";"57,3";"65,8"
"Altra provincia della stessa regione";"30,5";"36,2";"47,2";"33,5";"18,6";"23,7";"36,9";"17,9";"31,1";"25,9";"10,9";"26,2";"34,3";"34,1";"31,8";"34,6";"31,3";"37,7";"25,7";"34,4";"28,7"
"Altra regione";"6,9";"5,9";"4,9";"6,0";"13,6";"6,3";"6,2";"5,4";"9,0";"4,3";"12,9";"3,3";"5,1";"21,7";"9,4";"5,8";"3,8";"1,6";"10,4";"8,1";"5,5"
"Estero";"0,1";"0,1";"-";"-";"-";"0,1";"0,4";"-";"-";"0,7";"-";"-";"-";"1,6";"-";"0,6";"0,1";"-";"-";"0,2";"-"
"2. ORIGINE SOCIALE"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Economia, management e diritto dell'impresa (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi umanistici (DISUM) (Dip.)"
"Titolo di studio dei genitori (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Entrambi con laurea";"7,2";"6,1";"6,6";"12,3";"6,8";"7,1";"14,4";"20,4";"12,5";"3,8";"4,6";"6,7";"9,6";"18,6";"14,1";"4,7";"3,1";"-";"6,4";"2,8";"5,0"
"Uno solo con laurea";"13,7";"14,4";"16,9";"16,2";"18,6";"13,7";"14,8";"25,9";"20,0";"13,4";"9,5";"13,3";"15,2";"16,9";"11,5";"8,8";"10,0";"15,3";"13,2";"9,1";"13,7"
"Scuola media superiore";"47,4";"50,7";"50,7";"43,1";"42,4";"50,0";"42,6";"44,4";"44,8";"55,3";"46,0";"46,7";"43,5";"42,4";"47,4";"41,9";"47,0";"50,8";"52,3";"48,5";"48,5"
"Titoli inferiori o nessun titolo";"30,1";"26,9";"25,7";"25,5";"32,2";"28,6";"25,0";"9,3";"21,2";"25,6";"37,6";"33,3";"29,6";"21,2";"25,6";"42,6";"38,7";"32,2";"28,1";"38,4";"30,5"
"Classe sociale (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Classe elevata";"15,5";"12,6";"13,2";"18,1";"11,9";"17,0";"20,8";"25,9";"25,7";"11,1";"10,9";"6,7";"16,8";"30,5";"15,4";"10,1";"11,6";"15,3";"18,3";"11,0";"14,9"
"Classe media impiegatizia";"29,7";"31,1";"30,9";"33,3";"40,7";"27,6";"29,6";"44,4";"31,4";"34,4";"29,2";"31,7";"30,3";"31,4";"30,8";"22,3";"29,0";"15,3";"27,4";"26,2";"28,6"
"Classe media autonoma";"23,9";"24,4";"28,7";"16,2";"20,3";"28,5";"24,1";"18,5";"22,6";"20,6";"19,1";"26,7";"21,1";"20,3";"35,9";"35,1";"24,9";"22,0";"27,4";"24,4";"20,6"
"Classe del lavoro esecutivo";"27,8";"28,6";"25,7";"28,4";"25,4";"23,9";"23,1";"9,3";"18,1";"32,1";"36,5";"31,7";"28,6";"14,4";"12,8";"30,4";"30,5";"39,0";"25,7";"34,9";"32,8"
"3. STUDI SECONDARI SUPERIORI"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Economia, management e diritto dell'impresa (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi umanistici (DISUM) (Dip.)"
"Diploma (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Liceo classico";"19,9";"28,1";"23,6";"20,0";"18,6";"6,9";"23,6";"14,3";"40,9";"5,0";"14,3";"8,2";"18,4";"27,1";"8,2";"13,5";"17,7";"3,3";"9,0";"17,6";"37,5"
"Liceo linguistico";"7,3";"26,5";"5,6";"3,7";"5,1";"4,4";"4,0";"-";"5,5";"0,7";"1,8";"4,9";"2,4";"3,9";"2,4";"5,1";"7,1";"3,3";"3,6";"7,1";"7,5"
"Liceo scientifico";"39,3";"24,0";"59,0";"61,9";"49,2";"44,4";"54,7";"78,6";"33,3";"38,8";"29,1";"80,3";"59,6";"48,8";"52,9";"47,4";"25,4";"54,1";"43,1";"25,5";"26,7"
"Liceo socio-psico-pedagogico o ist. magistrale";"8,9";"6,3";"4,9";"5,6";"3,4";"2,0";"6,2";"-";"5,8";"0,4";"2,3";"1,6";"4,2";"3,1";"2,4";"7,7";"30,7";"3,3";"2,0";"22,0";"10,1"
