"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Economia e finanza (Dip.)";"Economia, management e diritto dell'impresa (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi umanistici (DISUM) (Dip.)"
"Numero dei laureati";"7538";"1015";"147";"163";"65";"305";"822";"248";"77";"603";"241";"461";"48";"1139";"104";"86";"178";"908";"59";"149";"438";"282"
"Hanno compilato il questionario";"6928";"935";"136";"156";"61";"290";"760";"234";"75";"524";"230";"387";"48";"1055";"93";"77";"168";"864";"54";"137";"406";"238"
"Tasso di compilazione";"91,9";"92,1";"92,5";"95,7";"93,8";"95,1";"92,5";"94,4";"97,4";"86,9";"95,4";"83,9";"100,0";"92,6";"89,4";"89,5";"94,4";"95,2";"91,5";"91,9";"92,7";"84,4"
"1. ANAGRAFICO"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Economia e finanza (Dip.)";"Economia, management e diritto dell'impresa (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi umanistici (DISUM) (Dip.)"
"Genere (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Uomini";"34,9";"16,5";"21,1";"25,2";"46,2";"50,2";"46,4";"25,0";"74,0";"43,0";"87,6";"61,8";"43,8";"35,3";"30,8";"58,1";"37,6";"11,6";"33,9";"45,6";"21,0";"35,1"
"Donne";"65,1";"83,5";"78,9";"74,8";"53,8";"49,8";"53,6";"75,0";"26,0";"57,0";"12,4";"38,2";"56,3";"64,7";"69,2";"41,9";"62,4";"88,4";"66,1";"54,4";"79,0";"64,9"
"Età alla laurea (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Meno di 23 anni";"19,1";"22,9";"27,9";"16,0";"13,8";"34,4";"17,9";"0,4";"24,7";"1,2";"25,3";"12,4";"22,9";"23,9";"1,9";"37,2";"14,6";"24,1";"16,9";"23,5";"16,7";"18,8"
"23-24 anni";"31,5";"33,7";"34,7";"22,1";"29,2";"34,8";"34,1";"31,5";"36,4";"35,5";"34,9";"21,5";"35,4";"28,1";"20,2";"33,7";"36,0";"31,1";"32,2";"28,2";"36,8";"28,7"
"25-26 anni";"22,8";"20,3";"17,7";"31,9";"21,5";"16,7";"28,8";"25,4";"19,5";"29,9";"19,5";"18,9";"22,9";"21,6";"34,6";"11,6";"32,6";"19,3";"15,3";"21,5";"22,8";"23,4"
"27 anni e oltre";"26,6";"23,2";"19,7";"30,1";"35,4";"14,1";"19,2";"42,7";"19,5";"33,5";"20,3";"47,3";"18,8";"26,4";"43,3";"17,4";"16,9";"25,6";"35,6";"26,8";"23,7";"29,1"
"Età alla laurea (medie, in anni)";"26,2";"25,6";"25,2";"26,1";"26,7";"24,7";"25,3";"27,4";"25,0";"27,2";"25,4";"28,5";"25,4";"26,0";"27,7";"25,4";"25,2";"26,2";"26,5";"26,4";"26,3";"26,8"
"Cittadini stranieri (%) ";"1,0";"2,6";"0,7";"-";"-";"2,3";"1,0";"1,2";"-";"0,5";"-";"0,2";"-";"1,1";"-";"-";"-";"0,4";"-";"2,0";"2,1";"0,4"
"Residenza (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Stessa provincia della sede degli studi";"63,1";"56,9";"58,5";"58,3";"69,2";"68,9";"67,3";"58,1";"75,3";"63,0";"63,1";"76,8";"66,7";"63,2";"41,3";"57,0";"59,0";"65,2";"66,1";"67,8";"55,0";"62,8"
"Altra provincia della stessa regione";"29,6";"36,0";"31,3";"32,5";"24,6";"22,3";"24,8";"34,3";"24,7";"28,5";"31,5";"10,6";"33,3";"30,9";"33,7";"33,7";"35,4";"30,6";"28,8";"25,5";"36,5";"31,2"
"Altra regione";"7,2";"6,6";"9,5";"9,2";"6,2";"8,9";"7,9";"7,7";"-";"8,5";"5,4";"12,6";"-";"5,7";"25,0";"9,3";"5,6";"4,1";"5,1";"5,4";"8,4";"6,0"
"Estero";"0,1";"0,5";"0,7";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0,2";"-";"-";"-";"0,1";"-";"1,3";"-";"-"
"2. ORIGINE SOCIALE"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Economia e finanza (Dip.)";"Economia, management e diritto dell'impresa (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi umanistici (DISUM) (Dip.)"
"Titolo di studio dei genitori (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Entrambi con laurea";"7,0";"6,6";"4,4";"8,3";"13,1";"5,9";"5,1";"9,8";"14,7";"15,3";"3,0";"4,7";"12,5";"8,8";"10,8";"6,5";"4,8";"4,5";"7,4";"5,1";"3,2";"6,7"
"Uno solo con laurea";"14,4";"13,2";"24,3";"15,4";"29,5";"14,8";"13,2";"17,1";"17,3";"20,8";"11,7";"9,8";"18,8";"17,3";"22,6";"16,9";"10,7";"10,8";"14,8";"12,4";"7,1";"15,5"
"Scuola media superiore";"46,8";"51,1";"51,5";"48,7";"41,0";"48,3";"49,9";"46,2";"52,0";"40,6";"51,7";"46,5";"45,8";"43,7";"46,2";"48,1";"45,8";"45,7";"53,7";"41,6";"45,3";"47,5"
